epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24642,2.11041,3.65536,4.69619,1.95048,0,0,0,0,0,0,0,0,0,2.28302,3.48565,4.39099,2.01692,0,1e-05,1e-05,0.09901
2,4.54499,2.57307,3.97005,4.57077,2.16884,0,0,0,0,0,0,0,0,0,2.28894,3.49959,4.40445,2.01395,0,2.98515e-05,2.98515e-05,0.0970299
3,5.57157,2.60338,4.39464,4.70687,2.22033,0,0,0,0,0,0,0,0,0,2.30319,3.52571,4.4286,2.01338,0,4.9505e-05,4.9505e-05,0.0950495
4,6.65535,1.95239,3.48109,4.42541,1.88342,0,0.00286,0.85714,0.00699,0.00284,0.00286,0.85714,0.00699,0.00264,0.85274,3.13226,3.83542,1.1877,0,6.89605e-05,6.89605e-05,0.093069
5,7.91264,1.32236,3.80376,3.99688,1.29021,0,0.00333,1,0.01035,0.00708,0.00143,0.42857,0.00233,0.00068,0.93901,14.6083,3.39004,1.01509,0,8.8218e-05,8.8218e-05,0.0910882
6,9.02808,1.10073,1.99817,3.9156,0.99432,0,0.00333,1,0.01645,0.00976,0.00048,0.14286,0.00055,0.00012,1.41793,27.3491,3.27235,1.18145,0,0.000107278,0.000107278,0.0891073
7,10.273,1.38087,2.19405,3.5375,1.18289,0,0.00333,1,0.01888,0.01204,0.00143,0.42857,0.00388,0.00076,1.30145,12.9663,3.48163,1.14783,0,0.000126139,0.000126139,0.0871261
8,11.7097,1.18132,1.5724,3.29221,0.99135,0,0.00333,1,0.01919,0.01108,0.00262,0.78571,0.01221,0.00373,1.29209,9.48532,3.44879,1.16218,0,0.000144802,0.000144802,0.0851448
9,13.0914,1.3708,2.16613,2.67117,1.05328,0,0.00333,1,0.89983,0.5169,0.00286,0.85714,0.64243,0.22428,1.41245,8.68719,3.45247,1.1682,0,0.000163268,0.000163268,0.0831633
10,14.4171,1.21188,1.6346,2.24448,1.05101,0,0.00333,1,0.87639,0.46986,0,0,0,0,1.42032,41.1134,3.4045,1.14906,0,0.000181535,0.000181535,0.0811815
11,15.8031,1.62061,2.32605,1.90898,1.26392,0,0.00333,1,0.96875,0.59898,0,0,0,0,1.27304,102.34,3.13639,1.07017,0,0.000199605,0.000199605,0.0791996
12,17.1428,1.46673,1.46068,1.66573,1.014,0,0.00333,1,0.96875,0.59898,0,0,0,0,1.27304,102.34,3.13639,1.07017,0,0.000217476,0.000217476,0.0772175
13,18.5406,1.21445,1.6339,1.59392,0.95125,0,0.00333,1,0.995,0.66007,0,0,0,0,1.16049,152.496,3.03718,0.99973,0,0.00023515,0.00023515,0.0752352
14,19.9673,0.88101,1.0743,1.34116,0.83962,0,0.00333,1,0.98567,0.62531,0,0,0,0,1.20366,188.308,3.02704,0.98028,0,0.000252626,0.000252626,0.0732526
15,21.2784,1.20559,1.65471,1.34919,1.08067,0,0.00333,1,0.98567,0.62531,0,0,0,0,1.20366,188.308,3.02704,0.98028,0,0.000269903,0.000269903,0.0712699
16,22.6143,1.19977,1.58441,1.48094,1.00122,0,0.00333,1,0.99033,0.75202,0,0,0,0,0.91476,211.025,2.96621,0.91618,0,0.000286983,0.000286983,0.069287
17,23.9825,1.02898,1.68852,1.1335,0.95797,0,0.00333,1,0.995,0.78257,0,0,0,0,0.85973,198.459,2.86732,0.90979,0,0.000303864,0.000303864,0.0673039
